date,ru,ly,recdates
2002-03,5.7,934.724,0
2002-06,5.8,935.255,0
2002-09,5.7,935.761,0
2002-12,5.9,935.795,0
2003-03,5.9,936.211,0
2003-06,6.1,937.055,0
2003-09,6.1,938.687,0
2003-12,5.8,939.587,0
2004-03,5.7,940.244,0
2004-06,5.6,940.885,0
2004-09,5.4,941.627,0
2004-12,5.4,942.442,0
2005-03,5.3,943.468,0
2005-06,5.1,943.912,0
2005-09,5.0,944.703,0
2005-12,5.0,945.216,0
2006-03,4.7,946.47,0
2006-06,4.6,946.875,0
2006-09,4.6,946.888,0
2006-12,4.4,947.566,0
2007-03,4.5,947.701,0
2007-06,4.5,948.597,0
2007-09,4.7,949.325,0
2007-12,4.8,949.747,1
2008-03,5.0,949.302,1
2008-06,5.3,949.631,1
2008-09,6.0,948.698,1
2008-12,6.9,946.371,1
2009-03,8.3,944.646,1
2009-06,9.3,944.472,1
2009-09,9.6,944.893,0
2009-12,9.9,945.825,0
2010-03,9.8,946.79,0
2010-06,9.6,947.719,0
2010-09,9.5,948.339,0
2010-12,9.6,948.919,0
2011-03,9.0,949.008,0
2011-06,9.0,949.34,0
2011-09,9.1,949.789,0
2011-12,8.7,950.468,0
